(2.125160778671503, ([4], 0.0005, 1))
(1.6532786998562514, ([4], 0.0075, 2))
(0.6581683102846145, ([4], 0.0075, 3))
(1.6701757848262786, ([4], 0.0075, 4))
(1.0468205112814903, ([4], 0.0075, 5))
(1.56683289706707, ([4], 0.008, 1))
(1.0641822621226311, ([4], 0.008, 2))
(1.395850305557251, ([4], 0.008, 3))
(1.5126495571136473, ([4], 0.008, 4))
(0.8653813824653624, ([4], 0.008, 5))
(2.4082553551197052, ([4], 0.0085, 1))
(2.606773313999176, ([4], 0.0085, 2))
(1.9192661755383014, ([4], 0.0085, 3))
(1.4661743700504304, ([4], 0.0085, 4))
(2.3242267966270447, ([4], 0.0085, 5))
(2.0540644750595094, ([4], 0.009000000000000001, 1))
(1.1028099105358122, ([4], 0.009000000000000001, 2))
(1.0061684430241584, ([4], 0.009000000000000001, 3))
(1.5097694129943846, ([4], 0.009000000000000001, 4))
(1.2752244548797607, ([4], 0.009000000000000001, 5))
(1.2384184617996215, ([4], 0.009500000000000001, 1))
(2.1011034414768224, ([4], 0.009500000000000001, 2))
(1.8226468846797943, ([4], 0.009500000000000001, 3))
(1.0021303420066832, ([4], 0.009500000000000001, 4))
(2.279262441754341, ([4], 0.009500000000000001, 5))
(1.0094367683529852, ([4], 0.01, 1))
(1.4939306573867797, ([4], 0.01, 2))
(1.0616313934326171, ([4], 0.01, 3))
(1.2431316809654234, ([4], 0.01, 4))
(0.6887607641220094, ([4], 0.01, 5))
(0.8173208642005921, ([6], 0.0005, 1))
(3.0751177000999457, ([6], 0.0005, 2))
(0.390235089123249, ([6], 0.0005, 3))
(2.635725473165512, ([6], 0.0005, 4))
(1.6024348351955413, ([6], 0.0005, 5))
(2.32572216796875, ([6], 0.001, 1))
(1.3158721700906753, ([6], 0.001, 2))
(1.171652940273285, ([6], 0.001, 3))
(1.7819567606449127, ([6], 0.001, 4))
(2.121103544056416, ([6], 0.001, 5))
(1.0132961127758027, ([6], 0.0015, 1))
(1.1601330482065677, ([6], 0.0015, 2))
(1.1997463154792787, ([6], 0.0015, 3))
(2.1872730777263643, ([6], 0.0015, 4))
(1.3305319592952727, ([6], 0.0015, 5))
(1.3821283981800079, ([6], 0.002, 1))
(1.1612360253930092, ([6], 0.002, 2))
(2.1997034549713135, ([6], 0.002, 3))
(1.9227969379425047, ([6], 0.002, 4))
(2.220495675563812, ([6], 0.002, 5))
(1.2611125320196153, ([6], 0.0025, 1))
(0.7102094576358794, ([6], 0.0025, 2))
(1.8496017341613769, ([6], 0.0025, 3))
(2.699923991471529, ([6], 0.0025, 4))
(1.8310361627340317, ([6], 0.0025, 5))
(0.7520670282766223, ([6], 0.003, 1))
(2.6136262865066526, ([6], 0.003, 2))
(1.4513261291384698, ([6], 0.003, 3))
(1.243210634946823, ([6], 0.003, 4))
(1.8706808731555937, ([6], 0.003, 5))
(1.5495717439651489, ([6], 0.0035, 1))
(1.5723549575805662, ([6], 0.0035, 2))
(0.6876124713420867, ([6], 0.0035, 3))
(1.1353212301731108, ([6], 0.0035, 4))
(1.7639124528169632, ([6], 0.0035, 5))
(2.1722772583961487, ([6], 0.004, 1))
(1.5389516458511352, ([6], 0.004, 2))
(1.9761020872592927, ([6], 0.004, 3))
(1.0615741748809815, ([6], 0.004, 4))
(1.5101167116165162, ([6], 0.004, 5))
(1.6398342237472534, ([6], 0.0045000000000000005, 1))
(2.110998696088791, ([6], 0.0045000000000000005, 2))
(1.6771718487739562, ([6], 0.0045000000000000005, 3))
(0.9656517181396485, ([6], 0.0045000000000000005, 4))
(1.7971749358177185, ([6], 0.0045000000000000005, 5))
(1.9264422373771666, ([6], 0.005000000000000001, 1))
(2.6662398800849916, ([6], 0.005000000000000001, 2))
(2.0301231086850167, ([6], 0.005000000000000001, 3))
(2.379276341199875, ([6], 0.005000000000000001, 4))
(2.2547806010246276, ([6], 0.005000000000000001, 5))
(1.8166627097129822, ([6], 0.0055, 1))
(1.4215047435760497, ([6], 0.0055, 2))
(1.4619151668548582, ([6], 0.0055, 3))
(2.6571109281778336, ([6], 0.0055, 4))
(1.2785976486206052, ([6], 0.0055, 5))
(2.166870747566223, ([6], 0.006, 1))
(2.782839112043381, ([6], 0.006, 2))
(1.9152340919971464, ([6], 0.006, 3))
(1.9335061044692992, ([6], 0.006, 4))
(2.4670300097465514, ([6], 0.006, 5))
(1.3894204930067062, ([6], 0.006500000000000001, 1))
(1.6725058406591415, ([6], 0.006500000000000001, 2))
(0.8219627783298493, ([6], 0.006500000000000001, 3))
(1.1935688273906706, ([6], 0.006500000000000001, 4))
(2.088302347421646, ([6], 0.006500000000000001, 5))
(1.4614090030193327, ([6], 0.007000000000000001, 1))
(1.3936261922717095, ([6], 0.007000000000000001, 2))
(2.1118151173591615, ([6], 0.007000000000000001, 3))
(1.3910736054182054, ([6], 0.007000000000000001, 4))
(1.4283084455728532, ([6], 0.007000000000000001, 5))
(2.9160848841667173, ([6], 0.0075, 1))
(1.3690240297317504, ([6], 0.0075, 2))
(1.6454722374677657, ([6], 0.0075, 3))
(1.7940927357673644, ([6], 0.0075, 4))
(2.1417787735462186, ([6], 0.0075, 5))
(1.0727736011743545, ([6], 0.008, 1))
(1.707092125892639, ([6], 0.008, 2))
(1.1134311158657073, ([6], 0.008, 3))
(2.4162712738513945, ([6], 0.008, 4))
(1.2782091205120085, ([6], 0.008, 5))
(1.6989525303840636, ([6], 0.0085, 1))
(3.025936262369156, ([6], 0.0085, 2))
(1.567003549695015, ([6], 0.0085, 3))
(1.6870974526405333, ([6], 0.0085, 4))
(0.9240206882953643, ([6], 0.0085, 5))
(2.4384106369018554, ([6], 0.009000000000000001, 1))
(1.2433674335479736, ([6], 0.009000000000000001, 2))
(1.6498644351959229, ([6], 0.009000000000000001, 3))
(0.9829552564620971, ([6], 0.009000000000000001, 4))
(1.0136880564689636, ([6], 0.009000000000000001, 5))
(1.8695076320171353, ([6], 0.009500000000000001, 1))
(1.589426174879074, ([6], 0.009500000000000001, 2))
(2.5405738711357118, ([6], 0.009500000000000001, 3))
(1.854987739086151, ([6], 0.009500000000000001, 4))
(1.995585928916931, ([6], 0.009500000000000001, 5))
(2.2502061233520507, ([6], 0.01, 1))
(1.4741176352500915, ([6], 0.01, 2))
(1.1913807288408278, ([6], 0.01, 3))
(1.5358371496200562, ([6], 0.01, 4))
(1.8161751258373262, ([6], 0.01, 5))
(1.9624607712626456, ([8], 0.0005, 1))
(1.8669713990688321, ([8], 0.0005, 2))
(2.0352864801883697, ([8], 0.0005, 3))
(2.475230497598648, ([8], 0.0005, 4))
(1.0461254555583, ([8], 0.0005, 5))
(1.6308219656944274, ([8], 0.001, 1))
(1.6348916456699372, ([8], 0.001, 2))
(2.75070251083374, ([8], 0.001, 3))
(2.0362632290124894, ([8], 0.001, 4))
(1.8151808485984802, ([8], 0.001, 5))
(2.5708921954631805, ([8], 0.0015, 1))
(1.5839904979467392, ([8], 0.0015, 2))
(1.7404588670134544, ([8], 0.0015, 3))
(1.9154775607585908, ([8], 0.0015, 4))
(1.1610698852539063, ([8], 0.0015, 5))
(1.0499716031551363, ([8], 0.002, 1))
(1.6349863336086272, ([8], 0.002, 2))
(1.324161787509918, ([8], 0.002, 3))
(2.1272259072065354, ([8], 0.002, 4))
(1.7783526525497435, ([8], 0.002, 5))
(2.0305322811603546, ([8], 0.0025, 1))
(2.3187688158750532, ([8], 0.0025, 2))
(1.4732376503944398, ([8], 0.0025, 3))
(2.258903455734253, ([8], 0.0025, 4))
(0.5613056800365448, ([8], 0.0025, 5))
(2.1100831568837166, ([8], 0.003, 1))
(0.7841815979480743, ([8], 0.003, 2))
(1.6283361513614654, ([8], 0.003, 3))
(1.5371480464935303, ([8], 0.003, 4))
(1.927427312731743, ([8], 0.003, 5))
(2.1845483467578886, ([8], 0.0035, 1))
(2.3626339778900145, ([8], 0.0035, 2))
(0.3232053062915802, ([8], 0.0035, 3))
(1.4741011666059491, ([8], 0.0035, 4))
(1.7973933362066745, ([8], 0.0035, 5))
(1.774514764547348, ([8], 0.004, 1))
(1.298704281449318, ([8], 0.004, 2))
(1.3541998834609985, ([8], 0.004, 3))
(3.2181105740368365, ([8], 0.004, 4))
(1.7186883318424226, ([8], 0.004, 5))
(1.9832780957221985, ([8], 0.0045000000000000005, 1))
(1.6658920615911483, ([8], 0.0045000000000000005, 2))
(2.426487438440323, ([8], 0.0045000000000000005, 3))
(1.825850154519081, ([8], 0.0045000000000000005, 4))
(1.4188874856233595, ([8], 0.0045000000000000005, 5))
(2.1333241746425626, ([8], 0.005000000000000001, 1))
(0.9918661415576935, ([8], 0.005000000000000001, 2))
(1.297713945865631, ([8], 0.005000000000000001, 3))
(1.5544612854719162, ([8], 0.005000000000000001, 4))
(2.148234687805176, ([8], 0.005000000000000001, 5))
(1.7011540949344635, ([8], 0.0055, 1))
(1.9632284447550774, ([8], 0.0055, 2))
(1.993999743938446, ([8], 0.0055, 3))
(1.7760643154978752, ([8], 0.0055, 4))
(2.1807466462850575, ([8], 0.0055, 5))
(1.6946625204086303, ([8], 0.006, 1))
(2.434030643105507, ([8], 0.006, 2))
(2.177616815328598, ([8], 0.006, 3))
(1.3256529705524442, ([8], 0.006, 4))
(2.0019738500118254, ([8], 0.006, 5))
(1.7089798460379242, ([8], 0.006500000000000001, 1))
(1.4318248347043991, ([8], 0.006500000000000001, 2))
(1.546824081659317, ([8], 0.006500000000000001, 3))
(2.5237953662872314, ([8], 0.006500000000000001, 4))
(1.974913288831711, ([8], 0.006500000000000001, 5))
(1.9288262162208558, ([8], 0.007000000000000001, 1))
(2.442014765739441, ([8], 0.007000000000000001, 2))
(1.8317278564572335, ([8], 0.007000000000000001, 3))
(1.2804154919385908, ([8], 0.007000000000000001, 4))
(1.152571946054697, ([8], 0.007000000000000001, 5))
(2.5616723034381863, ([8], 0.0075, 1))
(3.2754845902919767, ([8], 0.0075, 2))
(1.1672139096260072, ([8], 0.0075, 3))
(1.315669678211212, ([8], 0.0075, 4))
(1.5189976695775986, ([8], 0.0075, 5))
(2.0948000507354734, ([8], 0.008, 1))
(1.7112047271728514, ([8], 0.008, 2))
(2.4387463674545287, ([8], 0.008, 3))
(1.822386530160904, ([8], 0.008, 4))
(1.5690867995023727, ([8], 0.008, 5))
(2.1893237800598144, ([8], 0.0085, 1))
(2.33642604804039, ([8], 0.0085, 2))
(2.4985979989767073, ([8], 0.0085, 3))
(2.129627660036087, ([8], 0.0085, 4))
(2.603275129318237, ([8], 0.0085, 5))
(2.704604838848114, ([8], 0.009000000000000001, 1))
(0.6171684183180332, ([8], 0.009000000000000001, 2))
(1.5440188603401181, ([8], 0.009000000000000001, 3))
(1.5305080060958862, ([8], 0.009000000000000001, 4))
(1.9073264554738998, ([8], 0.009000000000000001, 5))
(1.7341900885105133, ([8], 0.009500000000000001, 1))
(1.7226437096595764, ([8], 0.009500000000000001, 2))
(2.539494443416596, ([8], 0.009500000000000001, 3))
(1.7492008254528044, ([8], 0.009500000000000001, 4))
(2.1278111860752107, ([8], 0.009500000000000001, 5))
(2.418988107204437, ([8], 0.01, 1))
(1.1861100797653197, ([8], 0.01, 2))
(1.5325807695388793, ([8], 0.01, 3))
(2.629022020101547, ([8], 0.01, 4))
(1.7551211760044096, ([8], 0.01, 5))
(1.5921771929264068, ([10], 0.0005, 1))
(2.497651676893234, ([10], 0.0005, 2))
(0.8477975131273269, ([10], 0.0005, 3))
(2.4946514234542847, ([10], 0.0005, 4))
(2.5442129127681254, ([10], 0.0005, 5))
(1.8367389559745788, ([10], 0.001, 1))
(1.3472911331653594, ([10], 0.001, 2))
(1.178551584482193, ([10], 0.001, 3))
(2.1680668339729308, ([10], 0.001, 4))
(1.6139426515102386, ([10], 0.001, 5))
(0.9921764392256737, ([10], 0.0015, 1))
(1.9263414088487625, ([10], 0.0015, 2))
(0.6746658541560173, ([10], 0.0015, 3))
(2.734040223121643, ([10], 0.0015, 4))
(2.2859603170156477, ([10], 0.0015, 5))
(1.3827152985930442, ([10], 0.002, 1))
(1.6338166344761849, ([10], 0.002, 2))
(2.035490703582764, ([10], 0.002, 3))
(1.3783520466685295, ([10], 0.002, 4))
(1.7956484601497649, ([10], 0.002, 5))
(1.6108984083533286, ([10], 0.0025, 1))
(1.519272672444582, ([10], 0.0025, 2))
(2.017844334244728, ([10], 0.0025, 3))
(2.8819438562393187, ([10], 0.0025, 4))
(1.8025393353700636, ([10], 0.0025, 5))
(1.3035927300453185, ([10], 0.003, 1))
(1.646496187210083, ([10], 0.003, 2))
(1.5820127773880959, ([10], 0.003, 3))
(2.574729891180992, ([10], 0.003, 4))
(1.324740311563015, ([10], 0.003, 5))
(2.2705584497451783, ([10], 0.0035, 1))
(1.8347670421600344, ([10], 0.0035, 2))
(2.149656009852886, ([10], 0.0035, 3))
(2.3851539895534515, ([10], 0.0035, 4))
(0.6998525575399399, ([10], 0.0035, 5))
(2.0338635281324384, ([10], 0.004, 1))
(1.4078898447752, ([10], 0.004, 2))
(1.825407268166542, ([10], 0.004, 3))
(2.334434413909912, ([10], 0.004, 4))
(1.97242507648468, ([10], 0.004, 5))
(2.755598952054977, ([10], 0.0045000000000000005, 1))
(2.2064759895801545, ([10], 0.0045000000000000005, 2))
(2.384835159778595, ([10], 0.0045000000000000005, 3))
(2.459718535900116, ([10], 0.0045000000000000005, 4))
(2.3227064852714534, ([10], 0.0045000000000000005, 5))
(2.020026965498924, ([10], 0.005000000000000001, 1))
(2.009148660302162, ([10], 0.005000000000000001, 2))
(1.4936820526123047, ([10], 0.005000000000000001, 3))
(1.4756420896053313, ([10], 0.005000000000000001, 4))
(2.2116453142166135, ([10], 0.005000000000000001, 5))
(2.6210124180316923, ([10], 0.0055, 1))
(1.5354564428329467, ([10], 0.0055, 2))
(2.475762001037597, ([10], 0.0055, 3))
(3.2442489104270935, ([10], 0.0055, 4))
(2.8847070530653, ([10], 0.0055, 5))
(1.8332064151763916, ([10], 0.006, 1))
(1.1588980588912965, ([10], 0.006, 2))
(2.0479704067707063, ([10], 0.006, 3))
(1.1669655964970587, ([10], 0.006, 4))
(1.407981330960989, ([10], 0.006, 5))
(1.8490264387726782, ([10], 0.006500000000000001, 1))
(1.6781343624591827, ([10], 0.006500000000000001, 2))
(1.1160206949710847, ([10], 0.006500000000000001, 3))
(2.061935825705528, ([10], 0.006500000000000001, 4))
(2.1006745295524594, ([10], 0.006500000000000001, 5))
(2.2505832808017727, ([10], 0.007000000000000001, 1))
(0.9663982958793639, ([10], 0.007000000000000001, 2))
(0.7802272067070006, ([10], 0.007000000000000001, 3))
(1.9272890614271163, ([10], 0.007000000000000001, 4))
(1.5896564648151397, ([10], 0.007000000000000001, 5))
(2.2073480800390244, ([10], 0.0075, 1))
(1.6250520825386048, ([10], 0.0075, 2))
(2.245651327133179, ([10], 0.0075, 3))
(1.6056509571075437, ([10], 0.0075, 4))
(2.400785838127136, ([10], 0.0075, 5))
(1.4770189658403396, ([10], 0.008, 1))
(1.375169125676155, ([10], 0.008, 2))
(1.898324453830719, ([10], 0.008, 3))
(3.0090717122554778, ([10], 0.008, 4))
(1.8899744317531586, ([10], 0.008, 5))
(2.596566869497299, ([10], 0.0085, 1))
(2.304023946881294, ([10], 0.0085, 2))
(2.4380375952124593, ([10], 0.0085, 3))
(1.9069280848503116, ([10], 0.0085, 4))
(2.4747566804885865, ([10], 0.0085, 5))
(1.893721322774887, ([10], 0.009000000000000001, 1))
(2.141203080177307, ([10], 0.009000000000000001, 2))
(2.2424275205135347, ([10], 0.009000000000000001, 3))
(2.30455136603117, ([10], 0.009000000000000001, 4))
(1.9736223192214966, ([10], 0.009000000000000001, 5))
(2.213950957536697, ([10], 0.009500000000000001, 1))
(2.4832204208374025, ([10], 0.009500000000000001, 2))
(1.244319388628006, ([10], 0.009500000000000001, 3))
(1.4648207384347915, ([10], 0.009500000000000001, 4))
(2.3076388392448424, ([10], 0.009500000000000001, 5))
(3.060161529660225, ([10], 0.01, 1))
(1.8914790872335434, ([10], 0.01, 2))
(1.2016612202525139, ([10], 0.01, 3))
(1.1544991092681882, ([10], 0.01, 4))
(1.45855536031723, ([10], 0.01, 5))
(2.761405216217041, ([12], 0.0005, 1))
(1.9336150751113892, ([12], 0.0005, 2))
(1.8345021562576291, ([12], 0.0005, 3))
(1.019104391336441, ([12], 0.0005, 4))
(1.311780102610588, ([12], 0.0005, 5))
(0.7845139031410218, ([12], 0.001, 1))
(2.1626111316680907, ([12], 0.001, 2))
(2.31188841342926, ([12], 0.001, 3))
(0.942576094150543, ([12], 0.001, 4))
(2.1333470731973647, ([12], 0.001, 5))
(1.4206173796653747, ([12], 0.0015, 1))
(1.749195794761181, ([12], 0.0015, 2))
(1.3787113016843797, ([12], 0.0015, 3))
(3.2565021023750305, ([12], 0.0015, 4))
(3.262482172310352, ([12], 0.0015, 5))
(1.2966510820388795, ([12], 0.002, 1))
(2.0230808243751524, ([12], 0.002, 2))
(1.3161535203456878, ([12], 0.002, 3))
(1.6296683803200722, ([12], 0.002, 4))
(2.5564664006233215, ([12], 0.002, 5))
(2.5870118141770364, ([12], 0.0025, 1))
(1.0683053135871887, ([12], 0.0025, 2))
(2.8897713217735292, ([12], 0.0025, 3))
(1.207671989798546, ([12], 0.0025, 4))
(1.384881243109703, ([12], 0.0025, 5))
(1.0805661247968672, ([12], 0.003, 1))
(2.924739676773548, ([12], 0.003, 2))
(2.1753010914325714, ([12], 0.003, 3))
(1.1095763370990752, ([12], 0.003, 4))
(1.2086704597473144, ([12], 0.003, 5))
(2.211648820400238, ([12], 0.0035, 1))
(1.9114506528377533, ([12], 0.0035, 2))
(1.7369636046886445, ([12], 0.0035, 3))
(1.382022312283516, ([12], 0.0035, 4))
(1.7341617093086241, ([12], 0.0035, 5))
(1.9506330225467683, ([12], 0.004, 1))
(2.0793367538452148, ([12], 0.004, 2))
(1.0320372477173805, ([12], 0.004, 3))
(2.1496948122978212, ([12], 0.004, 4))
(1.106608166217804, ([12], 0.004, 5))
(1.8115942347049714, ([12], 0.0045000000000000005, 1))
(2.5393935606479645, ([12], 0.0045000000000000005, 2))
(1.6834275606870652, ([12], 0.0045000000000000005, 3))
(2.55912833070755, ([12], 0.0045000000000000005, 4))
(3.3778624341487884, ([12], 0.0045000000000000005, 5))
(1.6223506765365598, ([12], 0.005000000000000001, 1))
(1.985086578130722, ([12], 0.005000000000000001, 2))
(1.4660688757896423, ([12], 0.005000000000000001, 3))
(2.537778027534485, ([12], 0.005000000000000001, 4))
(1.2214860216379164, ([12], 0.005000000000000001, 5))
(1.9973783359527588, ([12], 0.0055, 1))
(1.7916946172714234, ([12], 0.0055, 2))
(1.1911573315635322, ([12], 0.0055, 3))
(1.881545177221298, ([12], 0.0055, 4))
(2.213234551429749, ([12], 0.0055, 5))
(1.8660095677375792, ([12], 0.006, 1))
(0.7869144192934037, ([12], 0.006, 2))
(2.1897391662597654, ([12], 0.006, 3))
(2.0781985223293304, ([12], 0.006, 4))
(0.6550055222511291, ([12], 0.006, 5))
(1.7807780461311338, ([12], 0.006500000000000001, 1))
(1.1081091542243957, ([12], 0.006500000000000001, 2))
(1.665710540294647, ([12], 0.006500000000000001, 3))
(1.1878804121017457, ([12], 0.006500000000000001, 4))
(2.292025238394737, ([12], 0.006500000000000001, 5))
(1.676383760690689, ([12], 0.007000000000000001, 1))
(2.0264844732284546, ([12], 0.007000000000000001, 2))
(0.9346742138862609, ([12], 0.007000000000000001, 3))
(1.5820842728614806, ([12], 0.007000000000000001, 4))
(1.7295206041336058, ([12], 0.007000000000000001, 5))
(2.175209288358688, ([12], 0.0075, 1))
(2.246865341186523, ([12], 0.0075, 2))
(2.066629409790039, ([12], 0.0075, 3))
(2.2166124120950697, ([12], 0.0075, 4))
(1.3504904167652128, ([12], 0.0075, 5))
(2.4056056723594663, ([12], 0.008, 1))
(1.7847045950889586, ([12], 0.008, 2))
(0.8860432908535003, ([12], 0.008, 3))
(1.3971355320215224, ([12], 0.008, 4))
(2.9151631193161007, ([12], 0.008, 5))
(1.7957863554954527, ([12], 0.0085, 1))
(2.322742003202438, ([12], 0.0085, 2))
(2.2105924234390257, ([12], 0.0085, 3))
(1.708410887479782, ([12], 0.0085, 4))
(2.727376921534538, ([12], 0.0085, 5))
(2.7050631761550905, ([12], 0.009000000000000001, 1))
(2.6162371341735122, ([12], 0.009000000000000001, 2))
(2.667668025255203, ([12], 0.009000000000000001, 3))
(1.8038119227886198, ([12], 0.009000000000000001, 4))
(1.4487537622451783, ([12], 0.009000000000000001, 5))
(2.6165469930171965, ([12], 0.009500000000000001, 1))
(2.663222348690033, ([12], 0.009500000000000001, 2))
(2.8826625452041625, ([12], 0.009500000000000001, 3))
(1.2745865780711174, ([12], 0.009500000000000001, 4))
(1.9140335261821746, ([12], 0.009500000000000001, 5))
(1.379027534008026, ([12], 0.01, 1))
(1.3976374120712278, ([12], 0.01, 2))
(2.1583033219575887, ([12], 0.01, 3))
(2.161317807793617, ([12], 0.01, 4))
(1.0950210601091386, ([12], 0.01, 5))
(1.908334832251072, ([14], 0.0005, 1))
(1.328862277664244, ([14], 0.0005, 2))
(1.0042159307003022, ([14], 0.0005, 3))
(0.7738651752471923, ([14], 0.0005, 4))
(1.7836825567483903, ([14], 0.0005, 5))
(1.7174902935028076, ([14], 0.001, 1))
(1.7167037844657898, ([14], 0.001, 2))
(1.1789011441767214, ([14], 0.001, 3))
(1.12402047085762, ([14], 0.001, 4))
(1.3009377229213714, ([14], 0.001, 5))
(2.088049221038818, ([14], 0.0015, 1))
(2.0069742265939707, ([14], 0.0015, 2))
(1.6637051093578339, ([14], 0.0015, 3))
(1.6485440448522568, ([14], 0.0015, 4))
(0.5485743157863617, ([14], 0.0015, 5))
(2.1199075058102608, ([14], 0.002, 1))
(1.5048708692789077, ([14], 0.002, 2))
(1.6860103995800018, ([14], 0.002, 3))
(0.965492262005806, ([14], 0.002, 4))
(2.168613496541977, ([14], 0.002, 5))
(2.0781189143657683, ([14], 0.0025, 1))
(1.9505501524209976, ([14], 0.0025, 2))
(1.4352296802401543, ([14], 0.0025, 3))
(2.222647616267204, ([14], 0.0025, 4))
(1.847422343492508, ([14], 0.0025, 5))
(2.093298814624548, ([14], 0.003, 1))
(1.7622118250131606, ([14], 0.003, 2))
(1.4188316658735274, ([14], 0.003, 3))
(1.752175204515457, ([14], 0.003, 4))
(2.238778424739837, ([14], 0.003, 5))
(1.1488546805381774, ([14], 0.0035, 1))
(1.426977057814598, ([14], 0.0035, 2))
(1.967764242172241, ([14], 0.0035, 3))
(2.3118088946342468, ([14], 0.0035, 4))
(1.9216433867812157, ([14], 0.0035, 5))
(2.7869786829948424, ([14], 0.004, 1))
(1.328276025056839, ([14], 0.004, 2))
(0.7947467043995856, ([14], 0.004, 3))
(2.072276264987886, ([14], 0.004, 4))
(2.9142651855945587, ([14], 0.004, 5))
(2.8499671475887296, ([14], 0.0045000000000000005, 1))
(1.6658971117734906, ([14], 0.0045000000000000005, 2))
(1.314423919081688, ([14], 0.0045000000000000005, 3))
(3.055837173938751, ([14], 0.0045000000000000005, 4))
(2.324310232758522, ([14], 0.0045000000000000005, 5))
(0.9190783369541169, ([14], 0.005000000000000001, 1))
(2.732985866069794, ([14], 0.005000000000000001, 2))
(2.237079475879669, ([14], 0.005000000000000001, 3))
(1.3291459248065949, ([14], 0.005000000000000001, 4))
(1.1399631559848786, ([14], 0.005000000000000001, 5))
(2.2232952818274496, ([14], 0.0055, 1))
(2.2547876045703887, ([14], 0.0055, 2))
(1.1990189180374144, ([14], 0.0055, 3))
(2.411341427326202, ([14], 0.0055, 4))
(1.0714958176612854, ([14], 0.0055, 5))
(2.401242725610733, ([14], 0.006, 1))
(1.8210209877490997, ([14], 0.006, 2))
(3.292715106964111, ([14], 0.006, 3))
(1.3493603711128235, ([14], 0.006, 4))
(1.551646240234375, ([14], 0.006, 5))
(1.9325729818344115, ([14], 0.006500000000000001, 1))
(1.2021056562662125, ([14], 0.006500000000000001, 2))
(1.908539207458496, ([14], 0.006500000000000001, 3))
(2.2113952622413633, ([14], 0.006500000000000001, 4))
(1.8742381916046142, ([14], 0.006500000000000001, 5))
(1.9312437996864318, ([14], 0.007000000000000001, 1))
(1.9834650652408599, ([14], 0.007000000000000001, 2))
(1.7785014362335203, ([14], 0.007000000000000001, 3))
